de: Anwälte sind der Untergang Amerikas, und aller zivilisierter Nationen.	
de: Denke, wie dein Feind denkt, und fall ihm auf diese Weise in den Arm. In der Theorie klang das gut und einfach. In der Praxis lagen die Dinge jedoch meist ganz anders.	
de: Die Talente machen die Arbeit, und die Marktschreier bestimmen wo's lang geht.	
de: Es sind immer verängstigte Männer, die Kriege anzetteln. Mehr als einen Krieg selbst fürchten sie, was geschehen könnte, wenn sie auf Krieg oder andere Gewaltmittel verzichten würden.	en: Wars are begun by frightened men. They fear war, but more than that, they fear what will happen if they don't start one — or take equivalent action, I suppose.
de: Verbohrte Ideologen hatten nämlich häufig Probleme mit der Wirklichkeit, vor allem dann, wenn diese mit ihren Vorstellungen nicht übereinstimmen wollte.	
de: Wenn man Regierungsbeamten vorschlägt, einmal über den eigenen Tellerrand hinauszublicken, nehmen sie einfach einen größeren Teller.	
en: A field commander never has the information he needs. He has to go with his best hunch. The more information he has, the easier it is for him to win the battle.	
en: America is a country with a First Amendment, and you're allowed to publish just about anything you want, as long as it's not real secret information. Of course, nobody really does that except for, you know, you guys in the media.	
en: America is the most inventive country in the world. Why? Because everybody has access to information. In the Soviet Union it was illegal to take a photograph of a train station. Look what happened to them. They tried to classify everything. The more information available to the average person, the greater the synergy that develops from it.	
en: Ansara was sprinting up the tunnel, increasing the gap, but Moore was beginning to slow as he heard the thundering boots of men coming down the staircase behind them. He stopped, spun around, and dropped onto his belly as, lit by the flickering light from the tunnel entrance, a figure rushed forward, arm extended. For just a heartbeat Moore glimpsed his assailant's face: the cartel truck's driver. Propped up on his elbows now, Moore fired once into the figure's chest, the round booting him sideways into the panels before he fell onto his back. From behind him came two more men, the rest of the weapons-transfer crew, their Belgian-made cop-killer pistols flashing, the shots booming through the tunnel as one 5.7x28-millimeter round struck the pipe near Moore's elbow.	
en: Back then "cruel and unusual punishment" meant the rack and burning at the stake — both of those things that had been used in pre-Revolutionary America — but in more recent rulings it has been taken to mean the absence of cable television and denial of sex-change operations, or just overcrowding in the prisons.	
en: Certainly, we live in a different world … for the first time in all of known human history, we live in a world absent of the likelihood of superpower conflict. Now we live in a world in which there are superpowers, but we're not butting heads all the time. That's a very good thing for the world... but... there's still a few bad guys out there.	
en: China has a lot of people and not enough space and the Russians have not too many people and a lot of space.	
en: Countries that do not control knowledge and information tend to do better because the average guy who is exposed to a lot of information can get ideas and profit from them.	
en: Democracy is spreading across the world. Democracy is only possible with easy access to information and good communications. And technology is a way of facilitating communications.	
en: Ending your own life is not something the average person does. Everybody's assuming these are Islamic terrorists. Well, if so they've defiled their own religion. Islam does not permit suicide. It says you go to hell if you do something like this... We saw people in Northern Ireland, Catholics acting like savages and Protestants acting like savages... We have people who call themselves Muslims acting like savages. It's not because of their religion, it's because they're fools.	
en: Fifteen years ago, there was this country called the Soviet Union that had over 10,000 nuclear warheads pointed at us... they're not there anymore. That's a good thing. And when people talk about how the world is more dangerous now than it was because we had these terrorists running around, my reply is, you know, a terrorist is like a buzzing mosquito. About 15 years ago, there was a great, big vampire bat; that's several orders of magnitude different from a mosquito. So the world is much safer — a lot safer than it was. It's not perfectly safe, but it's a heck of a lot safer than it was.	
en: Fighting wars is not so much about killing people as it is about finding things out. The more you know, the more likely you are to win a battle. Take the AEGIS system in the navy. It's a radar computer system for air-battle management. What it does is give the commander an extra 15 minutes to decide what he's going to do to fight a battle, and those 15 minutes are decisively important.	
en: Historically, anything that gets information to people is good for the world. The most important human being who ever lived, if you want to leave out religious figures, would be Johannes Gutenberg... that's when the liberation of human thought happened, because people could read the thoughts of people across the world, and have thoughts of their own, and publish them and spread information around. Anything that gets information to people is good. America has prospered because we're the most information-friendly society in the world.	
en: I don't discuss works in progress...	
en: I like writing. It's the most fun I've ever had at anything. You can build your own little world and — like a kid with his toy trains, — except instead of trains I have tanks and ships and airplanes and things... I get to make them do all the things I want them to do, and if I don't like the way things work out, I start again.	
en: I think it's going to be remembered as the last major war on planet Earth, if we're lucky, if we maintain our foreign policy properly. … It will be remembered as the last time major countries had to put people in the field and put them in harm's way. It may be the last of all human nature wars, which is a nice way to remember any kind of a war, as the last one.	
en: I wanted a different way in which to tell my stories. Coming up with concepts for computer games gives me another avenue of creative expression. It's not just me telling the story, it's me designing the idea for a story and letting the players write their own ending.	
en: I was one of the first generations to watch television. That's technology. TV is like any other kind of tool. TV exposes people to news, to information, to knowledge, to entertainment. How is it bad? Computers are going to be even bigger. TVs are one-way. You sit there and you watch it. Computers, you interact with.	
en: I write strictly for fun... as long as it stays fun I'll continue to do it.	
en: I'd rather talk to people who do things than complain about other people who do things. I say they're idiots.	
en: I'm a spy... I worked for the CIA 15 years. The cover was I worked for the insurance business.	
en: I've been telling people for 12 years that if you want to get a nuclear device into the United States, just bring it through the port of Miami disguised as cocaine.	
en: If you want to tell me I'm a bum, that's okay.	
en: In case you haven't noticed, we live in a world that is for the first time in all of recorded human history unlikely to have a major war. There used to be this country called the Soviet Union; it's not there anymore. The reason is our technology was better than theirs. Probably what pushed the Russians over the edge was SDI. It was really a combination of SDI and CNN. They realized they couldn't beat us so they decided to change the ball game.	
en: I’ve made up stuff that’s turned out to be real, that’s the spooky part.	
en: Life is about learning; when you stop learning, you die.	
en: Look, technology is another word for tool. There was a time when nails were high-tech. There was a time when people had to be told how to use a telephone. We got past that. Technology is just a tool. People use tools to improve their lives.	
en: Look, this is simple. The good old days are now. OK? The human condition today is better than it's ever been, and technology is one of the reasons for that.	
en: Man is a creature of hope and invention, both of which belie the idea that things cannot be changed.	
en: My vision for this book and the others in the series is to let people know what kind of commanders we have. You don't pick generals off park benches. … They are experts at what they do and lot of thinking goes into it. And I want to get across to people the intellectual dimension of command, to let people know that it's hard to be a general. And the people we have with general stars on their shoulders are pretty smart and pretty good guys.	
