de: Es sind heute viele Leute in Versailles	it: C'è molta gente, oggi, a Versailles.
de: Habe ich zu viel Würde in meine Antwort gelegt? Ich frage, weil ich eine Frau sprechen hörte: «Seht nur, wie stolz sie noch ist!	
de: Ich hatte Freunde. Der Gedanke, daß ich von ihnen für immer getrennt bin, und das Bewußtsein ihres Schmerzes gehören zu den größten Leiden, die ich sterbend mit mir nehme.	
de: Ja, ich möchte meine Ruhe haben.	
de: Mein Herr, ich bitte Sie um Verzeihung, ich tat es nicht mit Absicht.	it: Pardon, Monsieur. Non l'ho fatto apposta.
de: Mich verletzt nichts mehr.	
de: Mut habe ich solange gezeigt, glaubt Ihr, ich werde ihn verlieren, wenn mein Leiden ein Ende findet?	en: Courage! I have shown it for years; think you I shall lose it at the moment when my sufferings are to end?
de: Nehmen Sie ihn, er gehört dem Staat. Dafür werde ich meine Tochter zurücknehmen.	
de: Sie können sicher sein, man wird auch nicht ein Körnchen Gift gegen mich anwenden. Die Zeiten der Brinvilliers sind nicht mehr; heutzutage hat man die Verleumdung, die weit wirksamer ist, um jemanden zu töten, und durch sie wird man auch mich ins Grab bringen.	
de: Sire, ich muss mich über einen Ihrer Untertanen beschweren, der so kühn gewesen ist, mir mit den Füßen in den Bauch zu treten.	
de: Wenn sie kein Brot haben, sollen sie doch Kuchen essen.	it: Se non hanno pane, che mangino brioches!
en: It is quite certain that in seeing the people who treat us so well despite their own misfortune, we are more obliged than ever to work hard for their happiness. The king seems to understand this truth; as for myself, I know that in my whole life I shall never forget the day of the coronation.	
en: Madame d'Adhémar, here is another missive from my unknown. Have you not heard people talking again of the Comte de St.--Germain?... This time, the oracle has used the language which becomes him, the epistle is in verse; it may be bad, but it is not very cheering. You shall read it at your leisure...The unknown says the same as you do; but who is wrong or right?'	
en: We had a beautiful dream and that was all. The interest of my son is the only guide I have, and whatever happiness I could achieve by being free of this place I cannot consent to separate my self from him. I could not have any pleasure in the world if I abandoned my children.I do not even have any regrets.	
en: What do you make of these threatening verses?... Pray heaven you speak truly, Madame d’Adhémar, however, these are strange experiences. Who is this personage who has taken an interest in me for so many years without making himself known, without seeking any reward, and who yet has always told me the truth? He now warns me of the overthrow of everything that exists and, if he gives a gleam of hope, it is so distant that I may not reach it... You fancy that I possess credit or power in our Salon. You are mistaken; I had the misfortune to believe that a Queen was permitted to have friends. The consequence is that all try to rule me, or to use me for their own personal advantage. I am the centre of a crowd of intrigues, which I have difficulty in avoiding.	
it: Amo l'imperatrice ma la temo anche a distanza; quando le scrivo non mi sento mai perfettamente a mio agio.	
it: Come potevo sapere che lo stato versasse in simili condizioni? Quando chiedevo del denaro me ne veniva dato il doppio del richiesto!	
it: Meglio perire che essere salvati da Monsieur de Lafayette!	
it: Non dimenticherò mai che voi siete il fautore della mia felicità!	
it: Oh, allora sarò una sua rivale perché anch'io desidero fare piacere al re.	
it: Se non ho risposto, è perché la Natura stessa si rifiuta di rispondere ad una simile accusa lanciata contro una madre! Mi appello a tutte le madri che sono presenti!	
it: Signori, vengo a portarvi la sposa e la famiglia del vostro sovrano; non tollerate che si divida sulla terra quel che è stato unito in cielo.	
it: So che, specialmente in fatto di politica, ho pochissima influenza sul pensiero del re. È forse prudente da parte mia fare scenate con il suo ministro su argomenti per i quali può essere quasi sicuro che il re non mi appoggerebbe? Senza alcuna ostentazione o bugie, ho fatto credere agli altri che ho più influenza di quanto in realtà ne abbia, perché se non gli avessi lasciato credere ciò, ne avrei avuta anche meno.	
